,puuid
0,707J0SHrB1qGa-ySoaGZ40wJm8IyXDwoPp6AONq_XYklXDoBUCA2-jtp_KfCbj-43UEwKgpDTcGreA
1,cbEf4zW9lzIa5KzAo6T-PO4HjBhdfQ0wCV6GzV5SbGGE4mkOAss8bfMGhirB_QPfXlreje1zjCFB-w
2,jSwOFQF0aTn0ZDr55l8t1S4HtQ8NP0LoDgwgWZzjvwNcgoDmYqAix8i186EfsJsyRWlSteUmqjLfvg
3,-xSj5bcC3x3wK65ZrbKWT8vthEHXGaVTmCPKPMlJoPeXS0LIq3F19yGw145w_C0oZ6TTZdaVtXDinA
4,Ioi_DMtSFCk2C52uYR7WtvUKukWvlyEDO_F_Ekw1NpzIfwC1bkszQaMmmCQI6IzbqIfFaIU2iIc-lg
5,0yAsR2zXLpcrycHylA74XulZ40vSd4YfLRAmD-9fnUWsXAHiiFfehLSawqL06WdQSjN_5rh6nTSpKw
6,b4Orcpm2oxlJZnGCpnM7P7Si1pi52H-oW-458KicKS2L7ua44XowoNckQHOx9-JLWKsPSafmvdMAwg
7,36UYoY1SwGt7WJyONzhJFTlZ0Sm0PoREtkqftUklv4Dmd4vk2OkabkEAoiclMN6WjNOganYE-j7uxQ
8,GmDwgM7vhOvkoe_F7PYUnRnTxV91gsvmb5aBSSEZeJ_ELrZA_aoUZ95YqFV_RVulqFxTzJn_SOX-Pg
9,hyuDNFuFhCZqt0y3Z4fBccQHnqi9gej1J0lSGqm3xxFGvuW3M6QKffXAVTlm9nTmttYLN4w8gkM7Tg
10,mTXNVgWONHZcPJK63jxxkYFwnlsJ9o8u-nnAavDQq0RxzPYH7kGx7SgeukH5L-t7jFxfIWa7AmlV6g
11,k7xmrnHIIqFd-KIxnP4tiSYHLoZSoQNnTFiMRp8eD3EdIefTvbgSZBBf3eDqyssE0mE35WXw7H2K-Q
12,IKHA3L4PqdSN76Oc0e2D7qpznd9SKb7vwuEViRZHvUvUdjFJK1ePMnlMP8VNiNEBdMTTTfra2ce3FQ
13,zGEZhmekct-D2k5jtq3gM_Umq5ojr4_TXlh-CLcHjtEdm5OcUaC8SgmkixE9ovyudGHQOZPjMnRmyQ
14,KYjQTJds_Diubp6d1orZcHhGoeq91rGcup6giJGGiDNiYx9_QyCwo2fZhsPaA3LR2KcvNzYNrOHofw
15,lLq53O2BGAJUzmF_1TVxRDuRwPghX6DFyAkQ1I5Z3nk8NuZpESVo0xkNSjBhDR06Umms_ZfmlYrb8g
16,Unm8b_pTSypzZRl-Z_GBaZIaiWaN0vHwPzhAgXqvG-3eYLAnyFS1Uu5zkUtoiHPem_n__pl-_1rggw
17,9Mr-wn2__drt1N9_3aly0IjuDSm0pErQVVmC-vcg1EKnNoNk87azOUNAedl7HfqRtQJ7XBSOLiMlnw
18,BInR9l5x7uo_g0c6v29QruqMDi5LiCai7qpFKmNxnS7r61Q8Vb2cccSip8XuUsBjvIh34RykxIHrWw
19,V1pS6NO2tEoywd1OoHy6bUgU2XhliV5Bv6Jr0HYaR___rlPpI-ggoznRGNCDUdxjtaC9FZsW05CryQ
20,weoXn3m2PSkrCD6HX-pdOCsNo8Iu1g_jwDl-NEZYEcuH6cRqAx-VWQPr1Gas5dK3Mgfs3eP2xfAPGw
21,dTDrcXikTST3ZOF7nWE3Ix8D8kSqeTpgIRRr2TWptvu-__BG1dNM_37DvKLIkwsENkYnSEcBS5hVCA
22,nkLvfPpnf1fKai7JZPZ1Lr7Hf7FxZ1nLzgmJnL7IOGIpBfnteC1mrneXC2McWyGMDBfkWj57LMdRyw
23,Ri92XnKpyPq5zZW8LDYtS7o0pquimWI9xhqcvHR67bWuXLC3TnottXPD_XtEUpmLBaM9614tQz8NUA
24,3M-ACIvR4lk-KuwrD0qR8Bb3vgH_CKRF7dU3zRPr1BeZb0VICO-_0_MEnZtnw11zz3JdXeFPP8L1MQ
25,s7CCZem2vLsMunV0a6typoncgjo4BDeXkLstVoO998Q5BoDchTXby3y9runA9n95GN2Ier_a3uWXcw
26,DSsLLCXs1Y87ZaUkLTSkeiId8BDZ0qncTuDLra058jvcrpvDkVKP7PDWHc87ceBmkoFHktb5yGe-lw
27,3UkBH4VIEkn3nzddtttxCP9N2wIOCUfbOEpTyqcJLMpFG47C9eL4A1pqj4HjXf_ta3_8c1ECAnq7wA
28,PhCrdXzdKNLQqu5j09j-aNwCyK2igcHwlwg17HpTrIttbxIk6mpuGYsbSLuwAhcfJ4smFASdQqbGLQ
29,SEkHIMVvMTDpk0uzop_DNGnok8GVge9l9JxQaNO5gmiTfDBuVr5dXMzV0rm7McbG_cubfLQvCRU2oA
30,SdRSWRKIc9g4Fbpc6fJMTq4j0gpPX3xJD-tomSeYF-S2DpPlIXTfEg7gLDTGMZ-ix0qOybHCvZ0NWA
31,KDoqQ-LS3OETgNYlXjoWkZQ19r1jaulfZ5SSVYA8tFRrllDB1xYCdACZnrCbBzF4AmGv1VQIgkNqcA
32,8Uszgj8uz0HY1k8bZW3QlgC4vB5Dg7Px7QIyvYD9s8PFdiDFi7RpobFZAsP2R4M_4a8teIj3QiWV6w
33,dToCqtei6fe91BHJA6l6g-SnQvmIP8F2NLQ-wt_gyQtMKDQbHVLXZ6v9oFHyNjWTTTq0XnoRxLQXcA
34,OYtMoA7MRuO126pq-Pjj1ZWbkpxaopWOCAXjhf95WSZ9BDZLYwn6KrnvRqd4W_PIDHBzmEWMVis9zQ
35,nbuQgAYa1dFzigr0O4pcACHp8rftFQGVsDN5jEng4ho-SU7kVwZ-YdjsQdZRI9X0J17Orl3yffuVnQ
36,8u7l_z06NsuKAzD4r-KWk9dgoJYaCYIh6s7MNBEjC_UTOrf0OzzzEl4gkELjKBSyLlwV8IdPv_ruEQ
37,bMMaHb0Xu8G4ihoCRhWf9lYS0J2dUhuVw0avXYgcmod6gKTFrsTp3YBA7IUMafRjyWa5lgyWFhTdmQ
38,Pz_yD89zn0Vl1T3x8y5aKWgoRu5Nx9TxdXq_meXI5lRfbnGvf64kCD8qhPXjPUTrCMkKgIVvtmAimQ
39,HC_kfxayHT0Iu7VCBnL-tdnvoWbzPTC5aipPtHq1LGk2eYR64AWeXa-QEfYMK5VHy2Rp54UbSY5Dlg
40,XRd5UWIkUdVBybStRoRquX8CNI_o1JdSZrTMAqsr7hT8dWhQ3JCdiWBvRjHCG6pg5bl2gpXTIW-whQ
41,apC7WnevebhIrhpHoWyWqf8-_8iNWsy-L2pY-p-5pvfnCl0_BLDhEQuANxYb6kkIfIDVBIL_tIr7DQ
42,1jrlewAh1r-nRVEL2bC5WNSph75JjZWNtFI4MbrL2dc0-nRVf1kuPigAw1k4l38mvwXPzgoWL1N2mA
43,Fn7sNwvgw1_ZShJQ4vubIySw0_MXFlsJzUw3Ob-fYINyIkIPFiUmDdtfVxZaKYBuT0BvosuYKRVCTw
44,6e69KvgjeIajjvD392zl_mXpa2KIsX9XscA9U1MFRH5tujgxDnPJXNrzyrxP-emWOCWvZmR6_enw0A
45,dZZFPuj-rDCigS_uDxB1F04JEHHFXn9cjgZWrq4gLsZgl_vsE6WZqaBEQJIJ6t24UIiSStjF3hTwng
46,X2ZQY3synsWJeW9b6ULZlW5xFOsGTAVNBeyHkG_MMcAd_PLH-NTriTFxg3rq4-kmzBGxu5BabMXb1g
47,MIhOuTL3hmhqxRlQc_c1qifOUSCz12b5ReJO3arwtqOO7w8ES5PLpZYndIEytyRtMZYWJUWTVtaCXw
48,bXHrR5840PPPVGBBrsJZhzf_pQaxbYBXG3ac1Og0vgr9ptkOe4FEgLR-vXe5QfCNmDSxx_2uf6gcjQ
49,2SoiWrytctoyMneNv5JRkRsVoihUjjpnDygIWxPDLh7ATENnrR2tuXvAyG-ELJr8-6CIWQYoeCZ3DA
50,EBGquTGDBlZxKA2hdFMCEEcOByVnNyBBc8f-OEkzAChAxdTXFKNBnzAAj3LpjmYz-BgBsxdQFmoDfw
51,dGtpOo4I9OqWx3pIwEZURWqK_8PVqy1tNzVjwXKKsVkCBmGnhfhlPGPpOM8D-Smw1mlk0LG4UxOJLw
52,NuITeNQoAcDzXJu4EvagjvpgQEB9avc_F2Y00xzbu9iHEtIgRt4yJMFP066YpP0jV3QKAVDKQdd7Dg
53,MznfXDH6plWSl6PEx44wvXMxGW-AxHAekCqmBvOB3TyGhkyKKBdWhOwuqWNyb9I0M0F74wI3FJa5Dw
54,WAAHMPkGLsjpni6E6d0dpUC2Jmv24LBULcEbk5T_1cGdPyUj27lpovJGx95qQ7b7jPtCKEvxs39fIw
55,1XE-rmIoGuT5z_2iLFTqP0VOdwDoJdgZnzT3X3S2IPPewKv6c7CXIlkuQsb7oc0cBYRKcT0TC3NFxQ
56,TRTwt1X2_rgkllWnAUE5nKUKKErRmUiedVlTG_n0-nowVU9D0xN_4D3Gdn_jUeB-3izJhzjGXeZfCg
57,83-hNry6nQ-wko7wDrq_PKHnxZzwd-_4AwhEcDzKjzXvMQysttYdzEYyHUYDpYMWV6tcBdUpbPQPIA
58,jsmFvZ_iRw_2qi_WBPGFTIyBJPiWiKBHboqQgYl53u1608fkjf5lUNqz0fnlN4Mhq1Zz_nUMqHeilw
59,OslwHEU41f5bUyHEtGFHW1uBpH8rd3RKtfuMxVsNVVpATdxZDy-B0CIjDUVk7GzpfzWCzRM6kuARBA
60,_FQtXaKS9MSafk1vP3JCFoOelyaYFemcm5lLgIiUV7lK8_w549GUz-LrxX9-zWhbaM38EEwoCklGWw
61,uTKl0RYoPoI7LhnEKlfkXgGEM7_qb45qr_Pbdu4Lckb0hq60XmxfzoT0uzR0CrafdCTk2qqm2XWTJg
62,Q_17VAQ08UpJqNZjQMPYaez2HXkjPhGQMwADR3BkRUrLp5tbovRvkwC80RllfQczx7U-posKyGt8zw
63,owTLL4aojcWG3oK2c3Nfez9nC8AYRL_EwcRBEn7mlLzrLokQH34zyiYcahZvT5CCRLmgice3NI9fbA
64,oVamfRD9I8EtYZyImI8-gCzN_bGzdgse1f-CmD9WW4iJ89JsmSqljhvsJLka8OMI4LadeCqeJdKPEQ
65,Wz3DLfC9_lX6XgmapOUolGjNy6--9M0z-pdmNVRwzkn8kYeCNO7-cS4jSGNPl5TYIhEdHmW6QViNYg
66,VLch7Sw-7uTliMqLMymC2oN0Ka6_YHzVRDSTObCrgTfxTYNoBFelENSOkZJLGzXdCy85wT0jz8pWfA
67,_mcmt0bgIKiKh9Sg_n36txX-8WmVmrQBhkjMWe8DrHh8JCE0JGRWgQaV8PVon1YqUB50vD-RJmoBtg
68,egH0k-E3WcGta8JoFXGzV1Ylbwd5DP7ii18mP0B-EOGsok8ycvhYO1ANTDs7uDYw40T6WpYzhLvXWQ
69,g4fuOTmFCte6xL7qhK8Ck2oqwKeBVhS4JHFFx2SRF9HZdcgiuI_pjEgWzROxHRIZzhCNU5AE7Jitsg
70,sA6u5-j7grHIZ1Zo4lvOvY4vj-Z8Wg0wyupXxZZ5etOxeFQSXjJLv15srU3a8JxpH5egKlzWmmu_7A
