is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
False,1850,6,0,0,21,18,38,93905,60011,738,91,9250,False,7,0,74,25219,23275,32891,473
True,1850,11,4,1,38,52,21,89479,67389,747,54,9250,False,3,0,83,24137,19325,34263,405
False,1932,7,1,0,40,55,46,137248,67120,759,150,9660,False,6,0,77,24958,30568,34456,442
True,1932,10,3,1,46,55,40,132195,73565,759,64,9660,False,4,0,91,24491,20428,47521,422
True,1095,8,1,0,25,33,11,57871,40657,428,67,5475,False,2,0,33,27765,32117,38126,405
False,1095,3,1,0,9,4,25,38500,32242,432,73,5475,False,2,0,25,24207,21621,48293,426
False,1776,2,0,0,19,31,42,136903,50165,662,199,8880,False,4,0,44,24131,32718,48430,394
True,1776,10,4,1,42,52,20,169847,65336,754,100,8880,False,5,0,58,26052,35549,50184,427
True,972,3,0,0,27,25,7,47310,35444,403,25,4860,False,1,0,33,28457,32339,45216,412
False,972,0,2,0,7,7,27,33160,24346,322,42,4860,False,3,0,28,21824,26907,45587,352
False,1879,4,1,0,26,31,37,89925,56311,682,100,9395,False,6,0,82,23463,24999,37515,377
True,1879,7,4,2,36,44,26,117138,65870,722,127,9395,False,3,0,66,23060,24275,38508,409
False,1659,4,2,0,13,14,25,71860,48244,685,123,8295,False,5,0,60,22598,25239,38248,415
True,1659,3,2,1,25,40,13,78075,54100,669,99,8295,False,5,0,65,24101,23160,35483,402
True,1857,8,4,2,40,48,29,130129,67495,599,153,9285,False,8,0,58,27170,37877,54426,369
False,1857,5,0,0,29,40,40,139763,56406,654,168,9285,False,1,0,53,25675,41091,49327,372
False,1754,1,2,0,27,48,25,98722,55144,659,147,8770,False,3,0,48,24579,29184,42699,402
True,1754,10,2,1,25,46,27,98821,59807,632,156,8770,False,6,0,45,25978,29944,43644,394
False,1693,3,0,0,14,16,33,75690,47240,632,62,8465,False,5,0,49,24077,28008,49148,394
True,1693,8,4,1,32,37,14,104501,59657,670,148,8465,False,2,0,57,26243,34073,41595,408
False,1785,3,1,0,28,30,47,107015,54637,612,179,8925,False,4,0,63,26581,35937,48735,381
True,1785,9,3,1,47,61,28,136197,66950,642,100,8925,False,4,0,68,26415,34656,47915,365
False,1837,3,3,0,28,46,45,123814,57188,655,155,9185,False,3,0,68,24039,29850,46139,406
True,1837,10,1,1,45,62,28,135997,66927,650,214,9185,False,5,0,58,26687,34379,43776,396
True,1937,10,4,2,46,52,31,149531,71350,688,199,9685,False,5,0,69,24824,28958,50757,379
False,1937,6,0,0,31,28,46,130050,63880,762,96,9685,False,3,0,38,30609,36938,48135,444
False,1692,3,0,0,13,14,33,95414,46191,600,123,8460,False,2,0,33,21672,29118,38213,426
True,1692,10,3,1,33,49,14,99131,58215,615,152,8460,False,7,0,53,24156,25060,41665,406
False,1443,4,0,0,28,36,25,81726,48382,579,83,7215,False,3,0,52,25881,29018,41522,418
True,1443,10,3,1,25,24,28,74459,52177,542,99,7215,False,4,0,44,29486,29550,45526,409
