is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
True,1724,9,3,1,40,73,25,115994,63757,657,72,8620,False,4,0,55,28094,38017,43538,398
True,1724,9,3,1,40,73,25,115994,63757,657,72,8620,False,4,0,55,28094,38017,43538,398
False,1724,4,1,0,25,25,40,84731,50602,579,217,8620,False,4,0,55,22567,28255,52259,368
False,1724,4,1,0,25,25,40,84731,50602,579,217,8620,False,4,0,55,22567,28255,52259,368
True,1724,9,3,1,40,73,25,115994,63757,657,72,8620,False,4,0,55,28094,38017,43538,398
True,1724,9,3,1,40,73,25,115994,63757,657,72,8620,False,4,0,55,28094,38017,43538,398
False,1724,4,1,0,25,25,40,84731,50602,579,217,8620,False,4,0,55,22567,28255,52259,368
False,1724,4,1,0,25,25,40,84731,50602,579,217,8620,False,4,0,55,22567,28255,52259,368
True,1690,11,4,0,35,36,12,86925,60187,707,143,8450,False,6,0,40,26900,27642,37288,417
False,1690,2,0,0,12,12,35,74736,46001,629,61,8450,False,1,0,42,21497,23266,37240,374
False,2097,3,1,0,25,46,38,108821,62756,811,149,10485,False,2,0,85,22574,18627,38648,383
True,2097,11,4,2,38,43,25,126123,74895,831,129,10485,False,8,0,73,25754,24474,30491,455
True,2730,10,4,0,54,86,44,225640,89426,985,437,13650,False,9,0,103,24019,24522,43513,386
False,2730,8,2,3,44,56,54,187074,89089,981,213,13650,False,4,0,78,24883,26071,38889,413
False,1393,0,0,0,18,19,36,64171,38035,407,104,6965,False,2,0,45,23198,29155,42679,340
True,1393,8,3,1,36,46,18,75608,50524,446,86,6965,False,5,0,43,28209,31681,45405,370
False,1874,1,2,0,15,29,28,86225,49682,692,103,9370,False,8,0,67,21853,24548,34606,406
True,1874,8,2,0,28,55,15,108371,59890,782,211,9370,False,1,0,58,22676,21738,38259,405
True,2261,11,3,1,44,72,54,222202,79007,747,274,11305,False,2,0,87,25105,30071,48682,354
False,2261,4,2,0,54,60,44,197745,74249,712,217,11305,False,6,0,72,26122,35701,40568,353
False,1656,1,1,0,14,15,26,69463,41652,583,128,8280,False,3,0,49,23473,26590,33411,373
True,1656,10,2,1,26,29,14,77360,55153,708,158,8280,False,3,0,51,22558,20076,40792,419
False,2658,6,2,2,36,57,45,213625,80707,923,258,13290,False,6,0,90,22394,30979,41626,360
True,2658,9,5,0,45,72,36,229000,87275,927,202,13290,False,7,0,71,24953,29113,47910,399
False,1564,1,1,0,27,44,30,85164,47833,560,94,7820,False,2,0,45,21949,29053,50692,341
True,1564,11,3,1,30,44,27,112453,58555,590,126,7820,False,4,0,45,27728,37710,45591,444
True,673,2,0,0,5,5,3,14630,21817,293,13,3365,False,2,0,8,0,0,0,0
False,673,0,1,0,3,4,5,12405,15433,182,13,3365,False,1,0,19,0,0,0,0
False,1459,2,0,0,13,19,32,48229,38768,515,126,7295,False,0,0,49,23315,24454,31356,329
True,1459,10,3,0,32,43,13,77247,51196,522,111,7295,False,5,0,47,22615,23097,37830,367
False,2196,4,1,0,43,66,51,159124,73728,766,216,10980,False,7,0,77,24210,30610,38420,388
True,2196,9,4,2,51,74,43,151447,76559,703,147,10980,False,3,0,71,25547,29160,46561,352
True,1652,8,2,0,34,44,18,90376,57002,633,123,8260,False,3,0,39,27683,32285,39309,375
False,1652,2,2,0,17,21,34,72153,46160,570,140,8260,False,4,0,49,22027,25708,45924,316
False,1892,6,0,0,13,19,37,80366,54598,721,146,9460,False,2,0,58,21867,24118,41267,399
True,1892,11,4,2,37,43,13,119280,66988,672,91,9460,False,7,0,66,25906,30025,40190,387
True,1648,11,1,1,29,33,17,106419,57156,611,95,8240,False,4,0,62,24368,28101,46532,392
False,1648,2,3,0,17,16,29,90058,46960,658,79,8240,False,4,0,66,22552,31821,41226,400
False,2010,5,0,0,28,30,35,112825,59605,722,161,10050,False,7,0,73,26112,28660,37999,442
True,2010,7,4,1,35,64,28,124375,62820,668,116,10050,False,2,0,67,21043,24170,40948,342
False,1496,1,1,0,16,25,41,66786,42079,513,94,7480,False,3,0,28,21711,19712,44148,373
True,1496,11,2,0,41,56,16,131974,55430,534,156,7480,False,5,0,50,26163,32131,34764,381
True,2143,11,3,1,51,82,38,227120,75192,672,272,10715,False,5,0,58,23908,30175,43600,367
False,2143,2,1,0,38,53,51,178919,65156,721,390,10715,False,2,0,51,23548,29711,43533,359
False,2018,3,1,0,28,33,47,122163,61370,761,112,10090,False,3,0,83,24181,28977,42044,393
True,2018,11,4,2,47,56,28,138076,77633,751,136,10090,False,6,0,95,26035,28012,43253,410
True,1323,6,3,0,24,28,7,64605,45863,587,87,6615,False,3,0,54,25911,23974,31999,442
False,1323,0,0,0,6,9,24,44790,33499,512,64,6615,False,3,0,44,20569,14167,33496,401
True,2639,10,1,1,43,55,38,148809,87642,934,140,13195,False,6,0,90,23911,23820,49695,362
False,2639,4,5,1,38,64,43,189983,84377,1024,197,13195,False,8,0,140,25761,30259,39419,433
True,2047,10,2,1,30,37,33,110267,71385,796,78,10235,False,6,0,75,24297,21065,44190,398
False,2047,7,3,0,33,50,30,132236,64832,764,205,10235,False,2,0,72,24612,31377,31920,384
True,1538,11,3,1,27,35,10,81514,55232,628,129,7690,False,7,0,55,25370,24392,30593,419
False,1538,1,1,0,10,18,27,61328,40299,594,83,7690,False,1,0,67,21259,18440,35199,445
False,2161,5,3,0,37,53,61,135462,67239,722,107,10805,False,2,0,61,24958,28254,39199,352
True,2161,10,2,1,61,54,37,165803,76615,701,86,10805,False,7,0,69,23633,24453,43370,397
True,1746,9,2,1,27,36,25,88264,59177,656,114,8730,False,4,0,66,23716,23189,36226,394
False,1746,5,2,0,24,27,28,81355,53967,625,106,8730,False,3,0,75,21659,22025,37466,367
False,2090,6,3,1,31,39,35,123597,66555,866,162,10450,False,4,0,64,22634,22724,42127,384
True,2090,9,3,1,35,55,31,150914,74234,857,182,10450,False,5,0,70,25561,28644,35001,439
False,1334,0,0,0,9,12,20,35481,33666,469,39,6670,False,1,0,35,21667,19013,32338,391
True,1334,11,2,1,20,23,9,58353,48853,525,80,6670,False,6,0,44,24966,23124,31679,420
True,1413,9,4,1,28,31,12,60385,48956,556,69,7065,False,6,0,49,23886,24476,43784,425
False,1413,0,0,0,12,15,28,61199,36318,477,86,7065,False,2,0,45,20737,27491,34252,372
True,1349,9,3,1,21,33,16,64363,45816,428,70,6745,False,4,0,30,24621,24013,33714,398
False,1349,1,0,0,16,15,21,42181,35547,369,78,6745,False,1,0,25,20403,16340,36744,316
True,2010,9,2,1,41,51,38,131794,69837,697,252,10050,False,6,0,73,26008,28018,36555,401
False,2010,2,3,1,37,50,41,105406,63715,712,89,10050,False,2,0,64,23193,22253,43613,352
True,1225,3,3,0,25,23,14,59803,40552,469,115,6125,False,2,0,27,25823,28823,48393,354
False,1225,1,0,0,14,14,26,61517,34989,451,84,6125,False,4,0,43,25448,32821,41711,391
True,2343,10,3,2,55,51,53,213110,83081,757,114,11715,False,2,0,47,27674,34502,39507,396
False,2343,5,3,0,53,50,55,156360,76072,834,170,11715,False,8,0,66,23000,22468,44839,368
True,1432,7,3,0,29,39,14,72347,50273,566,95,7160,False,5,0,47,27102,30996,39449,403
False,1432,2,0,0,13,11,29,51707,37783,509,78,7160,False,1,0,41,22585,24994,47249,356
False,1633,1,0,0,20,24,38,82746,44880,531,104,8165,False,1,0,59,22213,23437,45389,334
True,1633,10,4,0,38,39,20,110787,57940,631,133,8165,False,7,0,61,26519,29119,37819,425
True,2071,8,4,2,48,79,41,157092,71559,717,203,10355,False,3,0,70,23810,31661,40142,351
False,2071,7,1,0,41,48,49,131046,68919,663,155,10355,False,7,0,83,26236,32757,51587,382
True,1454,11,2,1,25,30,20,88999,53335,632,58,7270,False,1,0,39,25779,32333,47037,432
False,1454,2,1,0,20,36,25,76874,43037,534,225,7270,False,5,0,49,23762,26752,43282,401
False,2089,3,2,0,31,35,40,116348,61413,714,152,10445,False,2,0,60,25520,29559,42156,395
True,2089,9,2,1,39,48,31,138148,70049,754,118,10445,False,6,0,55,23446,25875,45128,363
True,1681,9,3,1,24,31,22,102582,54359,586,157,8405,False,1,0,51,23540,21654,43202,405
False,1681,1,1,0,22,32,24,84292,46391,575,85,8405,False,7,0,56,22126,27476,34437,392
True,1521,10,1,1,31,38,18,81698,54601,563,137,7605,False,3,0,45,25583,25936,49817,393
False,1521,2,2,0,18,19,31,87386,42431,527,195,7605,False,4,0,60,24495,30353,39923,387
True,2292,11,4,1,46,65,40,167934,82119,840,163,11460,False,5,0,85,25173,28134,39220,354
False,2292,3,1,0,40,54,46,120568,70791,771,194,11460,False,6,0,52,25533,30834,41306,350
True,1858,10,3,1,29,41,33,103639,64323,716,128,9290,False,3,0,66,23475,26635,39832,399
False,1858,3,2,0,33,48,29,97322,58448,676,109,9290,False,5,0,70,24419,25488,36593,356
True,1542,10,2,1,38,44,18,112840,57855,584,96,7710,False,7,0,55,27974,36201,48656,420
