,puuid
0,SxiG68rweB9LAeG-N8Fhk4YY2ocr9hYIt2aAGD6k5CjMHcPObqoVssf75Vf2fiXqyL-fv3YYn6EBWA
1,O2M15UELkD8pxgz03_P54P_mX8HwecB0Yszjzq0GQpTiFwrX7DhisFhx9d0g2ZTG8GjSqy8TH4wcbw
2,aZhMHCU5d90aE6wWacpWW2yOCoGTyW2LILv_QVCLhrrE9FQKI9X6F8zzwU9PwoMPhskWyBr-Kvb9kA
3,NTY3DyJhcMMCSzGcK6Ab70tjuVHAC38aSrpNMCtGaHbcCD3OX1-WsiWVprl844v41MatDUeINzW3IQ
4,v08deIuPC7pz3cpclfHhwSjzz02BC4kIZcNTNcUSsu2CVW6w6YGotMlg6ifMSiowWZouXLVLSSXD0A
5,e0CBg25ZBUHRfbQosXJyJLQVWSONnHmztnOb-5fSSMpk3Cd_GzC6n7pRITmTYrrtFu7_ZKS8F_aaJQ
6,35O-5p6Dx37mIoeBTCu7Q_QTtZbk7p-yvr2NxAmwKkih23wWQmdCRGFCueU5HDw-FAGF2bU6nLtczg
7,CIlo2mo2yxW_Z5uZgCz-tdoUuEa1qWMXXz8SVk9iIQPzaeur_lh2xkBw6a4Jco0LeUasY__ici31HQ
8,bgZp9d69P-o06Z3S68sa15AxqEnVSiXi0UKnEKzJLLL3CgGExNgjaBBlmAUKod5ZvgF9gTvjH66O8g
9,gc1iKQQI8D9q1Dr7iCmAf-XcYChZtUMmkC7U3ESX379tf8Qrj9aLVbTUzoxaLUHBaxXyP94HBubawQ
10,4wVZ7sMOgvZ3RuGzKLjkLcNtl8Aef50BAnralEndAqseY9letKy6cmMVUzTOq505thu6KwNfqdj3cw
11,jWUdHdpRwH3gW6eL-PdxjzVQK9OLe-bUYP97ajByDYYeN49CUmndTz8aH67GrzLVc0zoNg7C1oPkyA
12,C1gm1qISr6AsK7FNmwUlHhBTGcfAexYhCCpRZNwi334LaK2vIxPYBnJppPb2drS76Phyd0eI2QMhXw
13,nO1ypPP37YuWfRFAnXGJhWInu3SEWyTPLn18ZJgUWVIUPQymSM2LQNeN4SkLirt0aryg00yXnDOvLA
14,YrPLdyyQfZ12x63fvC4tKgzo1mCOzESR5W65OormNnkZMt1jEQzrn9Cnowem373c_AH4cFhrej_FEQ
15,9TbTwgH8T0Ehung-6Ezs48aFMa_phRd94McFhC8c65FOeAXoRtWyXhwBVAwQDDwkxGtz3m1k4RgRlQ
16,_DOjINb_kZXMevMeTrDMKqLBNPd_T68z6jbpATYKddIPf9LHHsPn7v_JPGMa1PaagLOLX7kene6wFQ
17,dZ2o1Hce-QDbCU_EfYf648mExKRN9vGaN0jmNR20JvYyw-08aGM-Zv6dztI2oJokZ4kB1N7WmBzi8Q
18,_Zwm3s_ItHyBkWAPE7ANtULwYCbZj3PW5mY7jB_wNuqJ1QObFTxOvgq8SDKbV8NXqlQWsFDuaO0jaA
19,Fal8oqUPyh_emWaQXb-O0u6XqKgruQn35Uk53WAhHeLvBnqmWpQqlgr3QOmu3KaGr77ubaLV1oHp8Q
20,Bk9MyH5neUARddW-M5sOk0Eblu7l9Uaq4yDvFBdWl4f5oDFFoJhn5e6G8ED3XcIB2Hi5vp8rfsPkrg
21,8TKNbal4QBu4MDxTH3_9gUnAxYRS9FQ8OhFIXEBldnw1_XaIMoriufl9HD5EYGJxuHAG_xrbtB7CmA
22,TdEPTs2XJOXG60uoGauw2D_W3irkN0vXsI_TJRVfamX0tM3MNyGfUTsAPfJSYHxyHDXETz-yp_RO6A
23,YU9Id1iGPLEkIECEXJw672Vn5a5PltZj9Vo2u4rZzVtNncXbjlixxqvHSmBJ0acsqmFyiFQxikQnsw
24,XzAWxaWJdcOvgUxnmTG-zYBK9UxGPdCo8yaSdzn0hJY6T6y8FGubRgQ1L12XGr9h0w858Pk5FLXhLg
25,5anSyGzQFAmPQ2r2g4JxOXIk0oFvIdWCvFekUttx81AmAxe7etZD0arJ8dyzYBDYjcxF3yPXeqJj3Q
26,J_n7euN8h5NSOgiFIuZo5duIyHdMm9QZjSnLwDcP9H6BaqNggtd09Oul9PeRX_aHhX2ddwoMxBOIzw
27,IQZfBvfUKMXUOEBC9mhflx9QP8mvgEFDdW_g6E1GYEaImj9ny0tBoKo9BdW6d4LshJkXGRLocOmzaw
28,rMhbP43wa32hm40QNstGvrKUmYMbgQoByHUI9xgMYy3c_jeyCGgmJEUNxSzSZiVqSW5zcrPdMsBKxQ
29,d0y83laxPT4rIGV5PLFCn0RFfT8Mk7AOT6wVUeDb76sVpdq4KLufxhvcU5R30IDnK6U8f6FIZ2f91A
30,Gg2-alZMGnNCoG0BbJklOerXh28h0wasRZVO55C-WQCtX2aDqtTyxNpu4Sukxs7eQvRVG3tMmnyQjg
31,46xhbiiEf-_Drg8FvT1BbAujNTg4S3ldCkwjXYPKQvN4GoJuhcILOuA4kc3lhNNL0YEIPe6NbY-txQ
32,PbDrwqDCVTbiYZhE9LE6PGNbqmgfSXlQpXspCqDQQfhE__u0QM2GcQRjUTca6kHCD0zaEjZldsPdPQ
33,mgkh5sPTik9w_7m-Jxq2eLHpaLgSJ3d2c3TBkatOpSNwb4XUFI0NOJgo4uC3_lqe8Pd8kehobNTkAw
34,dp7UBkH2mzjw30DqnIYA1xD3Kp3WywgTpSyhcHSlFYDaVmHhB9Ncn2SWpIAK1-jIpUQNdzbWMppEWg
35,2wZVZc14Y7y1ZexghAE9yLO5bEu5Vm49R411dm8V9fkR3kxwl9-xr97KtSFca90CF71qwxkKUxPJcA
36,VixerrnOn5QAoAePE_0V2mxixElbNfE3dNgFhINysPe9hp0kYCjzY7WhsyU6GbN6EPaS8UUYws6tvA
37,iaaerQ29WUjEUFtd6WjCrOrckhrWCoMAO2wYCRilKi1G9RySPTpUZaTaiQ6NIDZBIm_ZlbVuCt0Ffg
38,yUUrMWVhWz1rDJOUmqGFecYyDC_PhFamNapZNpRCd9HRBNvgPL4RTCN3PkNp_xoVM8NODwZWrDQuAg
39,AgvCRW96SJ4QvLKCk-xtnbAd7_gULHLkVmisxTZvtYTAQi2-h2hGbl2vFuaB8cNV-C7IosXAoWsTvQ
40,4rn9LMsGfDZ_K4r_lPt6uotPo5GqClt2XyoJ1WEdufru2kZ54ic4r7afovcYgyxWQW68MKmfDciLyw
41,wUqluK_s6kjjXzPFCtYesj5SpLyTWKmfhWjlNUdRKu4OsuTYokBh7K-wS7AepaGtbojYxYFEfw8yuQ
42,GsBZfqk2pQ7NucvyHS9UsZn_bgvdL34IfufDrUdsjIMcYe8l2TvQMI-33WcUSkhWJaKYJHH89yeQdw
43,u7vRjOXtmNO7qXOsAatzZz0nNV8LIiGsRvpqw5QtOAAVMFqZM6UhX1uADJr2qIa4__PiNl8LooVYww
44,I_vOu5kb3xpiAdtVxLjwQ6jYMqoVad-oVaVOU2Is8YeqFEjPCJhunoIgYIQ7sbleLDMQeRkaEKyvCw
45,oZhAoPvXskXErT7FyIZJBGIdOz-Q2humlmew7BxRWlVvaoSvUuxb8B6tjHEgzJYrAFy7ZoiFNobJLw
46,MEu-3NPHJquxLDZn_4PcJ573Ra_vpC_SJbCUPg5oFkxk2PIpmGdSMXYN_qHERZjm_VSy3j0dWj8ZZg
47,Zi4MEEF7C26n1tXl0A2zkDVSfdBMs11xNOoclYvJIHvxoEBtApDttLCqnlsemMt31vjqhl4QXrgszw
48,GBcgChpADfrjfbCMna6wpxHMiuesju1DTdcHs2fmZP8YyburK2e7-th9jDYEZcln4c-VggOJgxB45w
49,b2A_vL2tVmj0xxp9kkxLL54gaEoBFwrswrVlASGe8sBD4o2_ukhDqxQIY7EXBT__eTfqG5QbTze-2A
50,DMRa0mxJDtlZr5q3ih0OGnpPX5rR9Km_hlRqyC0TMSiBdZV-W4FsM_DEiX6HQEXHcfWewjTEbIwOvw
51,p0naWrU3Rm1xYJFQdIes4hYKuC2DhditRpZUEmOPRXNQIQZRZ55Mxp6Cz23hUPq3woxq6tg-cvYPpw
52,xsXbsxQKN7XBv6aMujclPMMlXI7MpglW-U2biR7IJC5vXZRzogxHXGyA7xwrq5WcyXU2Jq4AWnIkiQ
53,xPsT7SQ9Q_zed0mL3tfrFXpyUawQ5RSS4UeFFI3EQxGCLrmvUoXiB1gCPahehbECloVXbYYCYigTIw
54,jl8eitAVEfaClvBvZ9oTeQ4urGt1u94CgSLEBpNhQ2Pjzaf_gs1-zcY1eTjNYIAYSXeT7RjZPXqDig
55,NGCifiYKms9phHR2ibJUv4hBr_WGXj4ZjxSXKP5Ifg3OgSC_nTxu9YHLKKFJSM5MohJfEKuF7hTkbQ
56,Q9lgcPUkql2P1nQooei79LQKf2lmro6u5EHYezBVf5i0HAvXcttt9jHvC0A_bVgqGu12SIlJKC0uVg
57,qlO0eAR-vPk1EIxHDGYZjflG81f1vTXXglzgxNAemyTYbDRqGIxjW2Ft_LKQDw9H_MpFoGaBfILZpQ
58,hE44GBPsnQiDdaBeyZPAjIisaj5B2o6COs5JMsc3Lq07tT9Rd3jJub7GsT_DJ7PDZyJEkPGYHnpwTQ
59,Tqdsx0W9uJvc-IvxOGsLmUZ58R1rlDKHq4vGtRKMMx95m7aQwuH_shCzDG0hFUzcSxo7Ih7RR-BmpA
60,JLw46nR0TNTxsCUm7IoebPpD2qdEBAbvJq8VFBE-eMX46S-4HLJi-UC-LwV6SXs5BvslhAidkys77w
61,2zGU5t9Z12c7dLe-JRQ_ZLiVTCIhyn8CWmRcU2vcvGMyfUc3tEyQJEb0VNZjkmN7kxXpCFX5YhjTyw
62,zwEaWbClDDRBGeWaifgcQF2G61WRKiFaWIk3ItknwWbH9a50dQR8vmUd7pZuSoqIin1zd6xKoDZV_w
63,-YQCeeYUPbzaY5Je1zgsB507R_w00m2NGtmClxLESO46AFMbbIC_4CaclhcGZdcRNJ_LDmCzD7JTLQ
64,04RPMVNfXksFkPtpP-CP7FXbaAzxCmdc0iYx9KYcqu8IVo3vKHMhcHGwv8jBu-cCMGUUXTOA8NC-WQ
65,bkDxp283yEBaVsb5H1v6mAJZBKIaBemqboxVPlhUnMoK4tk_dGBZQTTou-OGJWWPPgx4VDVDWmtGYw
66,xMv6FcXGRInfwM2WLDkm6W33XGmtstQuxFo5UObJeKwW86Lktv3IVDWNrkjYbbR1WcKli48Np-p-XQ
67,1BymDLkILhzzStE1wBaZvcMU7oguOElgjNeKcjKItD1zdbSO5LHXQ9d8k3tbGy085LyNQYnQkAKxyQ
68,L1r3mZAWDT3INOROwnsQ4rdqMUYgqfBxtnaacTDof3Vfem1btfEM-CTt_jn0gKWlqAfUCcJN9wrWBA
69,GYn1H3o9mLeLPZGNJpvP0xI3glNQofdK7Ap9eMufEpz_PZk9xe0DTsuzW-_mNzbH4apW22ZEVALVWQ
70,eLUUdpoG_9z28PJ6OPpnQlI46CztzS0L9m3Tq1S16O6mo67-Z34Of34la2iuJHiYgDWVEV23zssqTA
71,nbwpb8Fib2_ydm6dV9Uxvy5u7EVTviVouIV6YL2YISZOvvH6d95huQ6o2NZWCEiOPFKqwX68xTJL4Q
72,5kET8wKJEm20F8qVeV4q5e24DxQ8sL7Lk-xFxuSEeBdoVi1wHAahAV1AFuoclQNL1HRN-HUHEOFz4g
73,MAvERVba_dtumAftqau18UfpfKUx7UDHVNfWKTDIX-kCLkUBxEi662ynOhu1z-Ghb_EiCUMwKN9yBA
74,qAV9qPzH7pupnZ0Nzm1_X-7L7_iHxsMs47QS5WaV8SdZeCNdpP-nq6YTHmsj5DxMa47_HGu1asfuHg
75,IJu2i7dsBxwahsWqjJ-Cmp-eEK3cjbj1GRY6cJQbkMlsXhp7I_Q9Y-Zeu_TWVeonznMEeayv5JSOFw
76,ACd24D7bazJLtQ4i2QuEKspH59zsKmYjd2EQHw9EcH0bchCZWKbvSExpXS_y5vzNmZUPe9-dgxVgtA
77,g-o0Xb5KpQ1NW18MCoiTnoDT91vnc7-XKwNZjuyWAq3x9zpn5AvHrFZDE-DMhJiDJm028v2naC8BvQ
78,o9B3_4o6rCrcT8AkOlZ0siYgjPmFPYf-zaeLcbnhz1CaNiNNweQm0fT5kN4wteM2JEwlE4Dlwzsd-g
79,Ht3usiqw-Two6Hei62WIOXMjRhMDj6e29NUy5-GGrB3on6ULUrSPlWS-8Rp-xCKEsxeXwQq_w-babg
80,dtrl97efUeon__7gDbLtdyYHOUNUENbRB_bYcOq6QDaqnLxBFUff6yZ0IzzARhGs4C2b_DSMoIpW7A
81,ukNj10c6239jNSU4SN5sMoOWjr0A_e7XKPFZboGXJh8JW1QHjKmfacGNHYU6UDm0h9wus2lcq1T8Ow
82,vZT3TriX3pLfx1EwnEY4Vcx0cMaySTV0LlA4eA2iV_wJf1jgZ3vh1SEcOrdAqVimhx2dCzI8ArCA5A
83,N7UVzzmToqqJtEZFO45blcZwJMZas7sblM1RQQdpFM138eJQkqWmr3NaaFBkCeLJUEgc3vDMjMwndg
84,rGv_MReFP2gJ1YMQflt-Nbpy_uIKaHPpUnc0XEntSTTVWJcmjOMlrNvSX4S1bPVyxWPqc9ykA5HEsQ
85,RMsUWLEbjWYIRF6ThR1heUqGjBbGqtElRjS0o6yNFNonY6QYvAUfehE64E7jl74dDi9DrtA83qwbIw
