match_id,team_id,is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
NA1_5151756399,100,False,1542,0,1,0,17,23,43,61666,41182,416,83,7710,False,3,0,40,19579,19029,45876,308
NA1_5151756399,200,True,1542,11,3,0,43,34,17,104885,52955,505,114,7710,False,4,0,51,26732,34814,42193,363
NA1_5151245454,100,True,912,4,1,0,23,17,3,39892,30895,264,68,4560,False,4,0,22,27705,34500,41303,324
NA1_5151245454,200,False,912,0,1,0,3,3,23,24974,18147,191,28,4560,False,0,0,16,16081,20018,46144,224
NA1_5151228980,100,True,2508,10,4,1,60,77,45,235186,85926,652,186,12540,False,4,0,66,25107,33002,46592,345
NA1_5151228980,200,False,2508,4,2,0,45,48,60,210043,79436,782,205,12540,False,5,0,64,23374,29653,43097,348
NA1_5150023970,100,True,2060,9,4,0,43,64,28,122783,62772,563,170,10300,False,5,0,80,20657,22448,37547,313
NA1_5150023970,200,False,2060,4,1,0,28,37,43,137611,55220,497,207,10300,False,4,0,63,22114,28265,39671,330
NA1_5149960005,100,False,1946,5,2,0,26,29,39,115941,55083,559,164,9730,False,2,0,53,22978,28789,43047,359
NA1_5149960005,200,True,1946,7,2,2,39,59,26,111836,61872,543,175,9730,False,6,0,49,23451,28365,46564,334
NA1_5162273011,100,True,1842,8,3,1,25,34,23,85394,55980,542,162,9210,False,6,0,52,21144,23121,40757,314
NA1_5162273011,200,False,1842,2,2,0,22,29,25,68310,49421,506,140,9210,False,2,0,60,22609,24939,38136,297
NA1_5162241412,100,False,885,0,0,0,9,5,20,18186,21389,215,40,4425,False,2,0,12,20818,16761,50989,288
NA1_5162241412,200,True,885,2,2,0,20,11,9,34461,29142,323,47,4425,False,2,0,22,27297,33524,39354,370
NA1_5157491587,100,False,2050,5,0,0,22,28,44,102488,58816,693,137,10250,False,0,0,57,24626,27191,40414,348
NA1_5157491587,200,True,2050,9,5,1,44,63,22,129709,65865,600,141,10250,False,8,0,56,22179,28954,38709,310
NA1_5157466646,100,False,922,0,0,0,5,1,25,28850,19642,257,87,4610,False,0,0,22,18365,23473,35337,260
NA1_5157466646,200,True,922,2,2,0,25,14,6,33856,30737,304,48,4610,False,3,0,23,27135,26666,40597,348
NA1_5156783154,100,False,1954,5,0,0,26,30,37,89933,57903,632,164,9770,False,2,0,57,22084,22614,37556,364
NA1_5156783154,200,True,1954,9,5,1,36,54,26,110221,64103,539,130,9770,False,5,0,59,20371,21389,36226,323
NA1_5173421580,100,True,1188,3,1,0,30,16,20,61274,38370,361,80,5940,False,0,0,45,24864,34195,37845,322
